subject,body,name,email
Delete a Provider Account from our system,Delete Account of Dr. %&*^&* from our system. Please call 416.988.8811 to confirm the deletion. Thank you, Rosie Cervo.,Arjun,arjun@orx.ai
Adding Dr. Librach to Group 0326 for Create West Fertility.[URGENT},Good afternoon Taylor, can we book a call to add Dr. Clifford Librach at Create West for group 0326? Still waiting from the MOH for AD6A. This is urgent because they need to start back billing to the MOH. Please call 416.988.8811. Thank you, Rosie Cervo.,Arjun,arjun@orx.ai
Billing software,Hello, I checked the uploaded file. Several billing codes differ from the file, e.g., K017A, K130A. I fixed others, but more remain. Other clinic name is Proxima health centre. Please check the upload. Thank you, Dr. Eman Al-Shami.,Arjun,arjun@orx.ai
Re: E-Forms,Follow-up to request #554223 E-Forms. Hi Taylor please call me at 416.988.8811 regarding a password reset. Thank you Rosie Cervo.,Arjun,arjun@orx.ai
Diabetes Flow Sheet,Hi Erin, we’re escalating your inquiry to a senior technician. Resolution may take longer than 48 hours due to complexity. We’ll keep you updated. Thanks for your patience.,Arjun,arjun@orx.ai
OLIS Search for IFH patients,OLIS lab results show an error for these patients and no results arrive in EMR inbox, forcing manual follow-up and faxing.,Arjun,arjun@orx.ai
Unable to log in to provider portal,User reports login fails with invalid credentials despite reset; account is locked after 3 attempts.,Arjun,arjun@orx.ai
Patient chart not loading,Opening patient chart spins indefinitely and then times out for multiple users.,Arjun,arjun@orx.ai
Appointment reminders not sent,SMS reminders were not sent for appointments scheduled today across two locations.,Arjun,arjun@orx.ai
Claim submission timeout,Batch claim submission times out after 80% progress; no confirmation is received.,Arjun,arjun@orx.ai
Duplicate patient records,System created duplicate patient profiles when importing from CSV.,Arjun,arjun@orx.ai
Lab results not attached,Incoming lab results appear in inbox but are not attached to patient charts.,Arjun,arjun@orx.ai
Provider schedule missing,Provider schedule for next week is blank for one location only.,Arjun,arjun@orx.ai
E-signature not capturing,Patient e-signature field is blank after signing intake forms.,Arjun,arjun@orx.ai
Encounter note save error,Encounter note fails to save with error code 500.,Arjun,arjun@orx.ai
Prescription print format wrong,Printed prescriptions are missing dosing instructions and font is cut off.,Arjun,arjun@orx.ai
Insurance eligibility check failed,Eligibility check returns service unavailable for all patients today.,Arjun,arjun@orx.ai
Referral fax failed,Referral fax queue shows failed for all faxes since 9 AM.,Arjun,arjun@orx.ai
Immunization registry sync delay,Immunization records are not syncing to registry for the past 24 hours.,Arjun,arjun@orx.ai
Patient portal message missing,Patient sent a portal message but it is not visible in staff inbox,Arjun,arjun@orx.ai
User permissions incorrect,Nurse role can access admin billing screens after update.,Arjun,arjun@orx.ai
Charting template not available,New diabetes template is not visible to clinicians in template list.,Arjun,arjun@orx.ai
Failed document upload,PDF upload fails with unsupported format although file is PDF.,Arjun,arjun@orx.ai
Audit log incomplete,Audit log entries are missing for edits made yesterday.,Arjun,arjun@orx.ai
Payment posting mismatch,Payments posted are not reducing outstanding balance on account.,Arjun,arjun@orx.ai
Task list not updating,Completed tasks remain in open list until page refresh.,Arjun,arjun@orx.ai
Claim rejection not showing,Payer rejection details are not visible in claim details screen.,Arjun,arjun@orx.ai
Missing provider on claim,Rendered-by provider is missing on generated claim file.,Arjun,arjun@orx.ai
Allergies not saving,Allergy entries disappear after saving patient profile.,Arjun,arjun@orx.ai
Multi-factor code not received,Users not receiving MFA codes via email or SMS.,Arjun,arjun@orx.ai
Encounter billing code suggestion wrong,Suggested billing codes do not match diagnosis for visit.,Arjun,arjun@orx.ai
Lab order status stuck,Lab order remains in ordered status after results received.,Arjun,arjun@orx.ai
Patient merge failed,Attempted to merge duplicate patients returns merge failed.,Arjun,arjun@orx.ai
Provider notes missing in portal,Shared visit summary does not include provider notes.,Arjun,arjun@orx.ai
